country,iso3,region,happiness,hle,loggdp,social,freedom,generosity,corruption,expected_happiness,gap,performer
Afghanistan,AFG,South Asia,1.859,54.712,7.324,0.341,0.382,-0.081,0.847,4.022,-2.163,Under-performer
Albania,ALB,Central and Eastern Europe,5.277,69.15,9.567,0.718,0.794,-0.007,0.878,6.1653,-0.8883,Under-performer
Algeria,DZA,Middle East and North Africa,5.329,66.549,9.3,0.855,0.571,-0.117,0.717,5.7792,-0.4502,Under-performer
Argentina,ARG,Latin America and Caribbean,6.024,67.2,9.959,0.891,0.823,-0.089,0.814,5.8758,0.1482,Over-performer
Armenia,ARM,Commonwealth of Independent States,5.342,67.789,9.615,0.79,0.796,-0.155,0.705,5.9633,-0.6213,Under-performer
Australia,AUS,North America and ANZ,7.095,71.05,10.821,0.934,0.89,0.198,0.496,6.4473,0.6477,Over-performer
Austria,AUT,Western Europe,7.097,71.15,10.899,0.888,0.855,0.102,0.497,6.4622,0.6348,Over-performer
Bahrain,BHR,Middle East and North Africa,6.173,65.825,10.776,0.844,0.944,0.117,0.737,5.6717,0.5013,Over-performer
Bangladesh,BGD,South Asia,4.282,64.548,8.685,0.544,0.845,0.005,0.698,5.4821,-1.2001,Under-performer
Belgium,BEL,Western Europe,6.859,70.899,10.844,0.915,0.825,0.001,0.549,6.4249,0.4341,Over-performer
Benin,BEN,Sub-Saharan Africa,4.374,56.095,8.103,0.437,0.743,-0.043,0.576,4.2273,0.1467,Over-performer
Bolivia,BOL,Latin America and Caribbean,5.684,63.599,8.985,0.811,0.868,-0.063,0.846,5.3413,0.3427,Over-performer
Bosnia and Herzegovina,BIH,Central and Eastern Europe,5.633,67.275,9.616,0.88,0.746,0.206,0.918,5.887,-0.254,Under-performer
Botswana,BWA,Sub-Saharan Africa,3.435,54.725,9.629,0.753,0.742,-0.215,0.83,4.024,-0.589,Under-performer
Brazil,BRA,Latin America and Caribbean,6.125,65.749,9.582,0.836,0.801,-0.009,0.738,5.6604,0.4646,Over-performer
Bulgaria,BGR,Central and Eastern Europe,5.466,66.5,10.087,0.918,0.801,-0.057,0.911,5.7719,-0.3059,Under-performer
